35,5,GROCERY,330.00,8,7,2023  
12,19,GROCERY,350.00,3,12,2022  
28,24,RENT,1950.00,1,8,2023  
7,15,RENT,2200.00,1,7,2022  
22,24,UTILITY,165.00,2,1,2022  
16,12,GROCERY,280.00,3,5,2023  
39,9,UTILITY,145.00,2,11,2024  
3,8,GROCERY,300.00,2,3,2022  
19,21,RENT,2300.00,1,11,2023  
31,7,LEISURE,140.00,9,6,2022  
5,17,LEISURE,100.00,3,4,2023  
27,12,LEISURE,130.00,5,10,2022  
33,3,RENT,2150.00,6,3,2023  
10,20,RENT,1900.00,1,10,2024  
24,25,UTILITY,155.00,2,3,2022  
14,14,LEISURE,150.00,5,7,2023  
38,8,RENT,2250.00,1,8,2023  
25,5,GROCERY,290.00,3,5,2022  
9,7,STATIONARY,80.00,3,9,2024  
18,18,LEISURE,110.00,4,1,2023  
30,25,GROCERY,310.00,3,3,2024  
1,6,RENT,2000.00,1,1,2023  
23,19,RENT,2050.00,1,12,2023  
37,7,STATIONARY,95.00,10,9,2023  
4,3,GROCERY,250.00,2,4,2023  
20,16,UTILITY,140.00,2,10,2022  
2,12,UTILITY,150.00,1,2,2022  
26,22,STATIONARY,85.00,4,12,2023  
36,23,UTILITY,2345.00,23,4,2023  
15,11,UTILITY,170.00,2,9,2023  
40,10,GROCERY,270.00,3,12,2024  
6,9,UTILITY,180.00,1,6,2023  
29,1,LEISURE,200.00,4,10,2024  
11,5,UTILITY,160.00,2,5,2022  
17,13,STATIONARY,90.00,4,8,2022  
32,2,STATIONARY,75.00,5,2,2022  
21,8,GROCERY,320.00,3,6,2022  
34,4,UTILITY,175.00,7,11,2024  
13,10,RENT,2100.00,1,6,2023  
8,2,GROCERY,400.00,2,2,2023
